"Year","Offence_Type","Gender_Accused","Relationship_Type","Total_Offences","Cleared_Offences","Clearance_Rate"
"2009","False imprisonment and abduction (art. 183)","male","parent-child relationship","152","20","0.131579"
"2009","False imprisonment and abduction (art. 183)","male","partnership","152","73","0.480263"
"2009","False imprisonment and abduction (art. 183)","male","Total","152","153","1.006579"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","female","former partnership","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","female","other family relationship","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","female","parent-child relationship","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","female","partnership","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","female","Total","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","male","former partnership","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","male","other family relationship","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","male","parent-child relationship","1","1","1"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","male","partnership","1","0","0"
"2009","False imprisonment and abduction: aggravating circumstances (art. 184)","male","Total","1","1","1"
"2009","Homicides attempted (art. 111-113/116)","female","former partnership","54","0","0"
"2009","Homicides attempted (art. 111-113/116)","female","other family relationship","54","0","0"
"2009","Homicides attempted (art. 111-113/116)","female","parent-child relationship","54","3","0.055556"
"2009","Homicides attempted (art. 111-113/116)","female","partnership","54","9","0.166667"
"2009","Homicides attempted (art. 111-113/116)","female","Total","54","12","0.222222"
"2009","Homicides attempted (art. 111-113/116)","male","former partnership","54","6","0.111111"
"2009","Homicides attempted (art. 111-113/116)","male","other family relationship","54","7","0.12963"
"2009","Homicides attempted (art. 111-113/116)","male","parent-child relationship","54","5","0.092593"
"2009","Homicides attempted (art. 111-113/116)","male","partnership","54","23","0.425926"
"2009","Homicides attempted (art. 111-113/116)","male","Total","54","38","0.703704"
"2009","Homicides completed (art. 111–113/116)","female","former partnership","25","0","0"
"2009","Homicides completed (art. 111–113/116)","female","other family relationship","25","0","0"
"2009","Homicides completed (art. 111–113/116)","female","parent-child relationship","25","6","0.24"
"2009","Homicides completed (art. 111–113/116)","female","partnership","25","4","0.16"
"2009","Homicides completed (art. 111–113/116)","female","Total","25","10","0.4"
"2009","Homicides completed (art. 111–113/116)","male","former partnership","25","2","0.08"
"2009","Homicides completed (art. 111–113/116)","male","other family relationship","25","0","0"
"2009","Homicides completed (art. 111–113/116)","male","parent-child relationship","25","4","0.16"
"2009","Homicides completed (art. 111–113/116)","male","partnership","25","9","0.36"
"2009","Homicides completed (art. 111–113/116)","male","Total","25","14","0.56"
"2009","Hostage taking (art. 185)","female","former partnership","0","0",
"2009","Hostage taking (art. 185)","female","other family relationship","0","0",
"2009","Hostage taking (art. 185)","female","parent-child relationship","0","0",
"2009","Hostage taking (art. 185)","female","partnership","0","0",
"2009","Hostage taking (art. 185)","female","Total","0","0",
"2009","Hostage taking (art. 185)","male","former partnership","0","0",
"2009","Hostage taking (art. 185)","male","other family relationship","0","0",
"2009","Hostage taking (art. 185)","male","parent-child relationship","0","0",
"2009","Hostage taking (art. 185)","male","partnership","0","0",
"2009","Hostage taking (art. 185)","male","Total","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","female","former partnership","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","female","other family relationship","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","female","parent-child relationship","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","female","partnership","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","female","Total","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","male","former partnership","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","male","other family relationship","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","male","parent-child relationship","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","male","partnership","0","0",
"2009","Illegal abortion without the consent of the pregnant woman (art. 118 para. 2)","male","Total","0","0",
"2009","Inciting and assisting suicide (art. 115)","female","former partnership","0","0",
"2009","Inciting and assisting suicide (art. 115)","female","other family relationship","0","0",
"2009","Inciting and assisting suicide (art. 115)","female","parent-child relationship","0","0",
"2009","Inciting and assisting suicide (art. 115)","female","partnership","0","0",
"2009","Inciting and assisting suicide (art. 115)","female","Total","0","0",
"2009","Inciting and assisting suicide (art. 115)","male","former partnership","0","0",
"2009","Inciting and assisting suicide (art. 115)","male","other family relationship","0","0",
"2009","Inciting and assisting suicide (art. 115)","male","parent-child relationship","0","0",
"2009","Inciting and assisting suicide (art. 115)","male","partnership","0","0",
"2009","Inciting and assisting suicide (art. 115)","male","Total","0","0",
"2009","Indecent assault (art. 189)","female","former partnership","143","0","0"
"2009","Indecent assault (art. 189)","female","other family relationship","143","0","0"
"2009","Indecent assault (art. 189)","female","parent-child relationship","143","2","0.013986"
"2009","Indecent assault (art. 189)","female","partnership","143","0","0"
"2009","Indecent assault (art. 189)","female","Total","143","2","0.013986"
"2009","Indecent assault (art. 189)","male","former partnership","143","43","0.300699"
"2009","Indecent assault (art. 189)","male","other family relationship","143","17","0.118881"
"2009","Indecent assault (art. 189)","male","parent-child relationship","143","15","0.104895"
"2009","Indecent assault (art. 189)","male","partnership","143","64","0.447552"
"2009","Indecent assault (art. 189)","male","Total","143","138","0.965035"
"2009","Insult (art. 177)","female","former partnership","1603","72","0.044916"
"2009","Insult (art. 177)","female","other family relationship","1603","46","0.028696"
"2009","Insult (art. 177)","female","parent-child relationship","1603","20","0.012477"
